#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Favourite;Tags;PlayedCount;PlayedTime;FileIsAvailable
Aaargh! (1988)(Melbourne House)[cr HTL];Aaargh!;amiga500;;1988;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Advantage Tennis (1991)(Infogrames)(M3)[cr NMS];Advantage Tennis;amiga500;;1991;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Adventures of Robin Hood, The (1991)(Millennium)(M4)[cr SR];Adventures of Robin Hood, The;amiga500;;1991;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Agony (1992)(Psygnosis);Agony;amiga500;;1992;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Aigle d'Or, L' - Le Retour (1991)(Loriciel)(FR);Aigle d'Or, L' - Le Retour;amiga500;;1991;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Alfred Chicken (1993)(Mindscape)[h QTX];Alfred Chicken;amiga500;;1993;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Alien Breed - Special Edition 92 (1992)(Team 17);Alien Breed - Special Edition 92;amiga500;;1992;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Alien Syndrome (1988)(ACE)[cr BS1 - QRM];Alien Syndrome;amiga500;;1988;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Altered Beast (1989)(Activision);Altered Beast;amiga500;;1989;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Another World (1991)(Delphine)(FR);Another World;amiga500;;1991;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Apidya (1992)(Play Byte);Apidya;amiga500;;1992;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Arkanoid - Revenge of Doh (1988-11-05)(Imagine)[cr Ackerlight];Arkanoid - Revenge of Doh;amiga500;;1988;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Asterix - Le Coup du Menhir (1989)(Coktel Vision)(FR)[cr];Asterix - Le Coup du Menhir;amiga500;;1989;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Asterix chez Rahazade (1987)(Coktel Vision)(FR);Asterix chez Rahazade;amiga500;;1987;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Atomix (1990)(Thalion)[cr VF][t +2 ACME][aka Atomic];Atomix;amiga500;;1990;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Awesome (1990)(Psygnosis);Awesome;amiga500;;1990;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Axel's Magic Hammer (1989)(Gremlin)[cr VF];Axel's Magic Hammer;amiga500;;1989;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
